Product_name,Product ID,Review Text,Rating,Reviews_token,Sentiment_Score,compound,vader_lexicon_Sentiment
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Osm camera,4,"['osm', 'camera']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Over All awesome,5,['awesome'],"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",0.6249,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good  Samsung Galaxy A14 5g  Dark Red 6 128   Display is nice  Charger not available for fast charging you have to spend ano 1 5k they gave C to C type cable overall fine model  _  ,5,"['good', 'samsung', 'galaxy', 'a14', '5g', 'dark', 'red', '6', '128', 'display', 'nice', 'charger', 'available', 'fast', 'charging', 'spend', 'ano', '1', '5k', 'gave', 'c', 'c', 'type', 'cable', 'overall', 'fine', 'model', '_']","{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.7579}",0.7579,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Awesome,5,['awesome'],"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6249}",0.6249,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Classy and minimal design is amazing Performance is also good  A good phone in this price range with latest interface upgrades ,5,"['classy', 'minimal', 'design', 'amazing', 'performance', 'also', 'good', 'good', 'phone', 'price', 'range', 'latest', 'interface', 'upgrades']","{'neg': 0.0, 'neu': 0.561, 'pos': 0.439, 'compound': 0.91}",0.91,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Very beautiful pic,5,"['beautiful', 'pic']","{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6361}",0.6361,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Product good colour just mind blowing very smooth,4,"['product', 'good', 'colour', 'mind', 'blowing', 'smooth']","{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best value for money,5,"['best', 'value', 'money']","{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.765}",0.765,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best samsung,5,"['best', 'samsung']","{'neg': 0.0, 'neu': 0.192, 'pos': 0.808, 'compound': 0.6369}",0.6369,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,It is very nice phone,5,"['nice', 'phone']","{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.4754}",0.4754,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Battery percentage is good but charge was fast complete,4,"['battery', 'percentage', 'good', 'charge', 'fast', 'complete']","{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.2382}",0.2382,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good product   nice,5,"['good', 'product', 'nice']","{'neg': 0.0, 'neu': 0.149, 'pos': 0.851, 'compound': 0.6908}",0.6908,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Camera quality superb Battery performance average Design Performance ok ok,4,"['camera', 'quality', 'superb', 'battery', 'performance', 'average', 'design', 'performance', 'ok', 'ok']","{'neg': 0.0, 'neu': 0.452, 'pos': 0.548, 'compound': 0.8176}",0.8176,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Bad service by flipkart Their customer care told No return or refund policy for this  Phone looks good performance is nice Low quality camera used  This phone colud be better if display is Amoled ,4,"['bad', 'service', 'flipkart', 'customer', 'care', 'told', 'return', 'refund', 'policy', 'phone', 'looks', 'good', 'performance', 'nice', 'low', 'quality', 'camera', 'used', 'phone', 'colud', 'better', 'display', 'amoled']","{'neg': 0.167, 'neu': 0.579, 'pos': 0.253, 'compound': 0.6124}",0.6124,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good quality,5,"['good', 'quality']","{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best product battery better nyc disign best network superb display quality but charger not available this product,5,"['best', 'product', 'battery', 'better', 'nyc', 'disign', 'best', 'network', 'superb', 'display', 'quality', 'charger', 'available', 'product']","{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.8271}",0.8271,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good Looking   Nice Performance  Average Battery Duration Good Camera  ,3,"['good', 'looking', 'nice', 'performance', 'average', 'battery', 'duration', 'good', 'camera']","{'neg': 0.0, 'neu': 0.411, 'pos': 0.589, 'compound': 0.8225}",0.8225,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Excellent in photography display and battery Performance is mediocre enough for day to day usages ,5,"['excellent', 'photography', 'display', 'battery', 'performance', 'mediocre', 'enough', 'day', 'day', 'usages']","{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.5719}",0.5719,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,I orderd Samsung A14 light green varient Look wise phone is attractive Performance is also great  Big Display Average camera  Little heavy near to 203 gm weight ,5,"['orderd', 'samsung', 'a14', 'light', 'green', 'varient', 'look', 'wise', 'phone', 'attractive', 'performance', 'also', 'great', 'big', 'display', 'average', 'camera', 'little', 'heavy', 'near', '203', 'gm', 'weight']","{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.8779}",0.8779,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Nice mobile everything thing is fine only minus is display if they gave Amoled display it will be really worth for this price,5,"['nice', 'mobile', 'everything', 'thing', 'fine', 'minus', 'display', 'gave', 'amoled', 'display', 'really', 'worth', 'price']","{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.6997}",0.6997,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Camera and battery not good,3,"['camera', 'battery', 'good']","{'neg': 0.376, 'neu': 0.624, 'pos': 0.0, 'compound': -0.3412}",-0.3412,Negative
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Can t expect much from this phone The display is very bad in sunlight it s a big problem Thought the battery capacity is 5000 it depletes very fast when u are gaming Also this is not meant for Gaming i ocassionly play COD and it heats up like a Tawa Also very bulky phone Cameras are ok ok I have given this phone to my mom now for her to use As the charging time is too much ,3,"['expect', 'much', 'phone', 'display', 'bad', 'sunlight', 'big', 'problem', 'thought', 'battery', 'capacity', '5000', 'depletes', 'fast', 'u', 'gaming', 'also', 'meant', 'gaming', 'ocassionly', 'play', 'cod', 'heats', 'like', 'tawa', 'also', 'bulky', 'phone', 'cameras', 'ok', 'ok', 'given', 'phone', 'mom', 'use', 'charging', 'time', 'much']","{'neg': 0.079, 'neu': 0.807, 'pos': 0.114, 'compound': 0.204}",0.204,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Very Good product by Samsung,5,"['good', 'product', 'samsung']","{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4927}",0.4927,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,I love this phone  surprise for me is hhe camera and picture quality is good,5,"['love', 'phone', 'surprise', 'hhe', 'camera', 'picture', 'quality', 'good']","{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.8481}",0.8481,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good phone  ,5,"['good', 'phone']","{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Phone heating minimum 15minutes used,3,"['phone', 'heating', 'minimum', '15minutes', 'used']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,It s ok in General use  ,5,"['ok', 'general', 'use']","{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.296}",0.296,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,1 phone is good work better Ram change 2gb  4gb and 6gb Charging very slow approx 1 percent in 5 min with samsung charger,3,"['1', 'phone', 'good', 'work', 'better', 'ram', 'change', '2gb', '4gb', '6gb', 'charging', 'slow', 'approx', '1', 'percent', '5', 'min', 'samsung', 'charger']","{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7003}",0.7003,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,After use will give review,3,"['use', 'give', 'review']","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Best budget smartphone,5,"['best', 'budget', 'smartphone']","{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,Good,3,['good'],"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,Positive
SAMSUNG Galaxy A14 5G,MOBGHT8UUUNXNYZ4,ok,4,['ok'],"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.296}",0.296,Positive
